1,1,0,0,1,0,1,2,2,1,0,1,2,1,0,0,1,0,0,1,1,0,0,1,0.06169229325293029,0.32755491014703214,0.30796720467664251
2,1,0,0,1,1,1,0,0,1,2,1,2,1,0,0,1,0,0,1,1,2,0,1,0.062376837496634564,0.24287529497186422,0.2764366336997684
0,1,2,0,0,2,0,2,2,0,2,0,2,1,2,2,1,2,0,1,0,2,2,0,0.07117742032600996,0.42975131602831729,0.36624875914555682
0,0,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,1,1,2,0,1,0,0,0.041138744177242538,0.64775821383191146,0.69901834626273029
2,1,0,1,1,1,1,0,0,1,2,1,0,2,1,0,1,0,0,1,1,2,0,1,0.077818508191283539,0.22200036304229442,0.32979153645354609
0,0,1,2,0,0,0,0,2,0,0,0,1,0,0,1,0,1,2,0,0,0,2,0,0.044852800867214021,0.45679796696315123,0.56956505753888009
0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,2,0,0,1,1,0,0.043039450291536822,0.5002722817208205,0.6083385418581565
0,1,0,0,1,2,2,0,0,1,0,2,0,0,0,0,1,0,0,1,2,0,0,1,0.068016556485694601,0.49990923942639315,0.3658443325122247
0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0.046091456084499959,0.76175349428208383,0.78121989779035994
2,2,1,2,0,2,0,1,2,0,1,0,1,2,0,1,2,1,0,2,0,1,2,0,0.073126473900165245,0.13958976220729716,0.25962719217618296
0,0,1,2,0,0,2,0,2,0,1,0,2,0,2,1,0,1,1,0,2,0,1,0,0.069839153954073849,0.21918678526048285,0.36080002941284606
1,0,1,2,0,0,0,0,1,0,1,0,0,1,0,1,1,1,2,0,0,0,2,0,0.062072688808135303,0.42430568161190779,0.53555645428140741
0,0,1,0,0,0,2,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,1,2,0.071687103547036543,0.44291159920130696,0.46414941725798742
0,0,2,2,0,0,1,0,0,0,2,1,0,0,1,0,0,2,2,0,0,0,2,0,0.070831403650898295,0.47658377200943908,0.55097613882863339
0,1,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0.066560354414439513,0.6631875113450717,0.54076252803411895
